OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
7761845,E,7,0,,,D,2.64,,1Ø45,1,0,1,0,,0,1,A,10,10,0,0,0,0,,2021-03-08,JFHC8005NP,,0,0,,2.6420992252,50.76628129910409,2.708385807745866
7762228,E,7,0,,,D,116.38,,3Ø45,1,0,1,0,,0,1,A,30,10,0,0,0,0,,2021-03-09,JFHC8005NP,,0,0,,116.382964161,50.765594042442004,2.708592961845592
7762231,E,7,0,,,D,75.15,,1Ø45,1,0,1,0,,0,1,A,10,10,0,0,0,0,,2021-03-09,JFHC8005NP,,0,0,,75.1530990823,50.765414843068825,2.7086031383087836
7762501,E,7,0,,,D,160.33,,3Ø45,1,0,1,0,,0,1,A,30,10,0,0,0,0,,2021-03-09,JFHC8005NP,,0,0,,160.326384011,50.764358122330215,2.708722407926789
7762506,E,7,0,,,D,17.66,,1Ø45,1,0,1,0,,0,1,A,10,10,0,0,0,0,,2021-03-09,JFHC8005NP,,0,0,,17.6576118041,50.764992764031405,2.7086571828114203
7762695,E,7,0,,,D,20.88,,1Ø45,1,0,1,0,,0,1,A,10,10,0,0,0,0,,2021-03-09,JFHC8005NP,,0,0,,20.8756974382,50.76346699138908,2.7087220949875954
7781766,E,4,0,,N,D,22.72,P/59535,,1,0,1,1,,1,1,B,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,22.7181663925,50.76103960600525,2.708697575487727
7781774,E,4,0,,,D,35.28,P/59535,,1,0,1,0,,2,1,B,0,0,0,0,0,0,,2021-04-14,WZQS5758NP,,0,0,,35.2751059313,50.76348167167981,2.708725725244695
7781954,E,7,0,,,D,35.31,P/59535,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,35.3053213389,50.76678749826275,2.7082893640779657
7782100,E,4,0,,,D,2.17,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,2.17235663539,50.76857581773243,2.710735546846067
7783295,E,3,0,,,D,1.02,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,1.02204596873,50.779241359702425,2.7319284704250677
7783352,E,7,0,,A,D,19.71,P/59535,PEHD:1Ø40,321,0,1,0,,0,0,B,0,0,1,1,0,0,,2021-04-06,WZQS5758NP,,0,0,,19.702824666,50.78146573359699,2.7406853779347125
7783363,E,3,0,,,D,1.87,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,1.8672842913,50.7795147834571,2.718908855066161
7783370,E,4,0,,N,D,195.42,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,195.4091911,50.77770743116024,2.716606230300824
7783417,E,7,0,,,D,4.57,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,4.57395546045,50.76651118730919,2.7177661955352512
7783418,E,7,0,,,D,4.57,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,4.57443323465,50.76654504207289,2.717788206745093
7783420,E,7,0,,,D,5.03,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,5.03132967835,50.766512817479246,2.717987151402517
7783421,E,7,0,,,D,4.97,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,4.97095579725,50.76655328155575,2.7180142084277485
7783424,E,7,0,,,D,6.91,P/59535,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,6.91305031499,50.765961113058914,2.7177620480203357
7783678,E,2,0,,,D,12.39,,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-06,WZQS5758NP,,0,0,,12.3869592161,50.7645596689991,2.719837955631161
7784026,E,0,0,,,D,33.58,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,33.577918945,50.764545776790904,2.722361442929141
