image_id,latitude_SIG,longitude_SIG,pano_lat,pano_lon,distance_m,bearing_deg,pitch_deg,fov,date,pano_id
1486,45.7025185030286,4.800729797885012,45.70254741304716,4.800862788892657,10.82,252.71,-13.01,35,2015-05,MSc_7gVdlV0SkX_0F8wAaw
1489,45.69884455235417,4.807720345176255,45.69888906378517,4.807800818594755,7.97,231.62,-17.41,45,2024-07,b5xqUWVLFAVWTA8IFGGK6g
1490,45.70052910148112,4.805203497030703,45.70051175383566,4.805093203534295,8.78,77.31,-15.89,45,2020-10,DbkhGSQBEjsbJymocAdM1g
1491,45.70025933010496,4.795386567117215,45.70027402971078,4.795493950700668,8.5,258.91,-16.39,45,2024-06,iamheDVIYsxX1iqvh_H-Uw
1494,45.7002924056596,4.806719897327714,45.70027833145615,4.806615444514719,8.26,79.08,-16.84,45,2015-05,0iFnxKfSClQXOr62hLO3UQ
1498,45.70152294021397,4.796109859126368,45.70146836479142,4.795994405758456,10.83,55.91,-13.0,35,2024-06,_EUMYjJ8ikK_yCmIwcDSlg
1500,45.7009981835652,4.8073567687653735,45.70098524248182,4.807243786948603,8.89,80.69,-15.7,45,2015-05,5XtHO1B89VmJJxE-_xRxFA
1502,45.70108969623716,4.79570587367619,45.70108432045403,4.795803904315687,7.64,274.49,-18.13,45,2024-06,dTt-8aL0Y8yCWSMV_azfJw
1503,45.69591912813509,4.807158571418689,45.69598275751419,4.807218653574751,8.48,213.41,-16.43,45,2024-06,PgQUljUtOc-Q2YdK5I9eAg
1505,45.70272446467151,4.80521911088489,45.70271223234123,4.80532153303838,8.07,279.7,-17.21,45,2024-08,8yXCZ4bi5CKmjYginKB4sQ
1508,45.70186721622224,4.796206516154518,45.70184986602058,4.796090279827586,9.23,77.94,-15.15,45,2024-08,jMAN948mtq0ImnckizXlOQ
1511,45.70096805313948,4.804926488738689,45.70089715402612,4.804830695627227,10.84,43.34,-12.99,35,2020-10,gQY2dKAhaUAE9duAmTtkkA
1513,45.69687361975338,4.809290186539234,45.69692744367948,4.809389032033721,9.73,232.06,-14.4,45,2024-07,F_D7sJP2ul4F7z4SyeE7Aw
1515,45.69620672304449,4.804714911084125,45.69624076335005,4.804775323499755,6.03,231.11,-22.52,55,2024-06,Iz2F41ybWAkyTz158Voefw
1516,45.70052825764567,4.806701414570066,45.70054938334368,4.806788252509176,7.14,250.8,-19.29,45,2015-05,A09p4kOnaemP8ndiaq1PkQ
1518,45.70444073841437,4.797657969399201,45.70442114309518,4.797822628965946,12.97,279.67,-10.91,35,2015-05,mS8n6EILsPDGb82z7UoIVQ
1521,45.70042902240439,4.795442457700944,45.70045004365112,4.79556177629994,9.56,255.84,-14.66,45,2024-06,M86W8Oz_-sEEaq-gC5S7vg
1522,45.70119329188712,4.805632513398275,45.70124872466496,4.805702382703565,8.21,221.36,-16.93,45,2015-05,o89f8SP512yG8uhJxobcaw
1523,45.70313944912649,4.8004947409714855,45.70309076957017,4.800574356538011,8.22,311.2,-16.92,45,2015-05,-1sYUhvrppTPXkfQ1HBScA
1524,45.69904651085244,4.802737389906998,45.69910968403199,4.802751997764608,7.12,189.17,-19.36,45,2024-07,ewNqKNQ4WQPqS2qOxcqEhQ
1528,45.70348559870824,4.80773454316498,45.70343785155085,4.807686097869745,6.51,35.32,-21.02,55,2015-05,_sn748cqOVTbbmHbFaSclQ
1529,45.70142895764969,4.80301871455043,45.70150379836176,4.802890732027598,12.96,129.94,-10.92,35,2015-05,0HeP7ZqhPM-zYDF8j_TjOw
1531,45.70286010344923,4.800536989855074,45.70288033611399,4.800629625616819,7.54,252.63,-18.35,45,2015-05,f65U86N4QzboDp-Oweg9pQ
1535,45.70121398578506,4.803333366089062,45.70129009770692,4.803401338933227,9.97,211.95,-14.07,45,2024-07,N7zgWqml84gBnOo6IXAveg
1536,45.70238111130345,4.805050308365176,45.70240298538758,4.80514778149174,7.95,252.19,-17.46,45,2024-07,n9A_cKT-eHxfHjjxJDFqMQ
1537,45.7040835377498,4.796874103087516,45.70405622786809,4.796956450470317,7.08,295.4,-19.45,45,2024-08,CgZYuboH0PoI4iUaZGxzOA
1538,45.70058904796294,4.805179601846979,45.70051175383566,4.805093203534295,10.9,37.98,-12.91,35,2020-10,DbkhGSQBEjsbJymocAdM1g
1539,45.70070934859982,4.804159199569397,45.70064325967774,4.804114997236679,8.11,25.04,-17.13,45,2024-08,zbL0NPwWsQfJkDFA6YE-mA
1540,45.6966400595393,4.809525779790323,45.69666240097732,4.809598822016796,6.19,246.35,-21.98,55,2024-07,aF8hcYe2w84Djy3cHPMcaA
1542,45.70334774933877,4.80517315771671,45.70332289146923,4.805250966880885,6.64,294.58,-20.62,55,2024-08,mIlwLCwF1Oe71MCDqzxqNA
1543,45.69917758139695,4.803436569423417,45.69908253365207,4.80341393375477,10.71,9.44,-13.13,35,2024-07,azQ5hIz9VdG7QgtI8p9yrQ
1550,45.70385954976288,4.796974222330695,45.70387833561457,4.796886499205847,7.13,107.05,-19.33,45,2024-08,_9H4KCMI0sD1txlCRNGKhQ
1553,45.701186284028125,4.805653125242446,45.70124872466496,4.805702382703565,7.93,208.85,-17.5,45,2015-05,o89f8SP512yG8uhJxobcaw
1554,45.70408787047274,4.796875766706624,45.70405622786809,4.796956450470317,7.19,299.32,-19.18,45,2024-08,CgZYuboH0PoI4iUaZGxzOA
1555,45.70333116630668,4.805169838474737,45.70332289146923,4.805250966880885,6.37,278.31,-21.44,55,2024-08,mIlwLCwF1Oe71MCDqzxqNA
1557,45.6999362035689,4.804785817902108,45.69988565408129,4.80471383176899,7.93,44.84,-17.5,45,2024-08,bx3_O2BYvoNz5LxevoQeYg
1559,45.7041268363088,4.809541952955477,45.70416910293804,4.809423680327228,10.32,117.1,-13.62,35,2008-11,DfZPfYpaExFTSaEyuwR68A
1561,45.69892305157004,4.807128085826586,45.69898396134433,4.807118872953483,6.81,173.97,-20.16,55,2024-07,_l0lyh63ZQpgw6BazcqdYg
1562,45.70295911625162,4.805295612998224,45.70299204445458,4.805365489921146,6.55,235.99,-20.9,55,2024-08,qRIKi392UcGnWeFdCu1Vww
1565,45.700574181115805,4.795688021917096,45.70062708733943,4.79563785674889,7.06,146.49,-19.51,45,2024-06,6_JbP3oaCMIXSGh7650R0w
1566,45.70096089557556,4.804941889210889,45.70089715402612,4.804830695627227,11.17,50.62,-12.61,35,2020-10,gQY2dKAhaUAE9duAmTtkkA
1567,45.69917043534856,4.80624871233086,45.69920212080527,4.806343937026381,8.19,244.53,-16.97,45,2024-08,eDjF-DIwprRKDUxrTCFM_A
1569,45.700849822441725,4.805010261042137,45.70083814520654,4.804881027582642,10.12,82.63,-13.88,35,2020-10,6Oy7jqTpvqZHkdCeVLMY2g
